Judul :,General
Total :,100 data
Dicetak :,04/08/2026, 13.36
Oleh:,Akun Trial

"No","Group","Key","Code","Value","Status"
"91","JENIS POTONGAN","JENIS POTONGAN","JENIS POTONGAN","PINJAMAN PRIBADI","true"
"92","JENIS POTONGAN","JENIS POTONGAN","JENIS POTONGAN","BPJS","true"
"93","PRIORITAS","02","P02","KE DUA","true"
"94","PRIORITAS","01","P01","UTAMA","true"
"95","JENIS LOKER","02","JL02","FRONTEND DEVELOPER","false"
"96","JENIS LOKER","01","jl01","BACKEND DEVELOPER","false"
"97","TANGGUNGAN","04","K/I","K/I/3","true"
"98","TANGGUNGAN","03","K/I","K/I/2","true"
"99","TANGGUNGAN","02","K/I","K/I/1","true"
"100","TANGGUNGAN","01","K/I","K/I/0","true"
